Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Behnke60;parallel;EASV2;718;740,60;762;14,35;26687;37643,50;54025;11718,16
Behnke60;iterative;ACSV2;556;566,80;584;8,78;38806;39236,40;39641;250,39
Behnke60;parallel;RBASV2;739;749,60;761;7,32;36664;50097,90;59273;7448,93
Behnke60;parallel;ASV2;733;746,40;758;9,83;29055;37990,70;47839;6659,40
Behnke60;iterative;greedy;641;641,00;641;0,00;83;101,93;332;45,73
Behnke60;iterative;ASV2;716;741,40;760;13,60;27823;48893,50;60255;11670,40
Behnke60;parallel;MMASV2;731;743,80;766;10,91;27781;40951,20;59430;13266,27
Behnke60;iterative;EASV2;717;740,10;754;14,47;31384;46637,00;60642;12116,46
Behnke60;iterative;MMASV2;732;748,10;763;10,38;27922;37160,60;47003;6210,36
Behnke60;iterative;RBASV2;734;748,60;763;10,49;28125;42149,30;59550;11967,86
Behnke60;parallel;ACSV2;561;567,90;584;6,90;30596;37264,40;38675;2367,73
